Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
"Encephalopathy, unspecified",G9340,"Encephalopathy, unspecified",100.0,,"Fuzzy matched to: 'Encephalopathy, unspecified' with score 100.0"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Benign neoplasm of cerebral meninges,D320,Benign neoplasm of cerebral meninges,100.0,,Fuzzy matched to: 'Benign neoplasm of cerebral meninges' with score 100.0
Hemorrhage complicating a procedure,A190,Acute miliary tuberculosis of a single specified site,85.5,,Fuzzy matched to: 'Acute miliary tuberculosis of a single specified site' with score 85.5
"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
"Multiple myeloma, without mention of having achieved remission",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Personal history of antineoplastic chemotherapy,Z9221,Personal history of antineoplastic chemotherapy,100.0,,Fuzzy matched to: 'Personal history of antineoplastic chemotherapy' with score 100.0
Atrial fibrillation,I480,Paroxysmal atrial fibrillation,87.56756756756758,,Fuzzy matched to: 'Paroxysmal atrial fibrillation' with score 87.56756756756758
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Acquired hemolytic anemia, unspecified",D599,"Acquired hemolytic anemia, unspecified",100.0,,"Fuzzy matched to: 'Acquired hemolytic anemia, unspecified' with score 100.0"
"Pulmonary hypertension, unspecified",I2720,"Pulmonary hypertension, unspecified",100.0,,"Fuzzy matched to: 'Pulmonary hypertension, unspecified' with score 100.0"
Chronic or unspecified duodenal ulcer with hemorrhage,K264,Chronic or unspecified duodenal ulcer with hemorrhage,100.0,,Fuzzy matched to: 'Chronic or unspecified duodenal ulcer with hemorrhage' with score 100.0
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Atelectasis,J9811,Atelectasis,100.0,,Fuzzy matched to: 'Atelectasis' with score 100.0
Other and unspecified ovarian cyst,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Acidosis,E8720,"Acidosis, unspecified",90.0,,"Fuzzy matched to: 'Acidosis, unspecified' with score 90.0"
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Physical restraint status,Z781,Physical restraint status,100.0,,Fuzzy matched to: 'Physical restraint status' with score 100.0
"Myelodysplastic syndrome, unspecified",D469,"Myelodysplastic syndrome, unspecified",100.0,,"Fuzzy matched to: 'Myelodysplastic syndrome, unspecified' with score 100.0"
Morbid (severe) obesity due to excess calories,E6601,Morbid (severe) obesity due to excess calories,100.0,,Fuzzy matched to: 'Morbid (severe) obesity due to excess calories' with score 100.0
"Leukemia, unspecified not having achieved remission",C9590,"Leukemia, unspecified not having achieved remission",100.0,,"Fuzzy matched to: 'Leukemia, unspecified not having achieved remission' with score 100.0"
Other secondary thrombocytopenia,D6959,Other secondary thrombocytopenia,100.0,,Fuzzy matched to: 'Other secondary thrombocytopenia' with score 100.0
Metabolic syndrome,E88810,Metabolic syndrome,100.0,,Fuzzy matched to: 'Metabolic syndrome' with score 100.0
Long term (current) use of insulin,Z794,Long term (current) use of insulin,100.0,,Fuzzy matched to: 'Long term (current) use of insulin' with score 100.0
Essential (primary) hypertension,I10,Essential (primary) hypertension,100.0,,Fuzzy matched to: 'Essential (primary) hypertension' with score 100.0
Personal history of other venous thrombosis and embolism,Z86718,Personal history of other venous thrombosis and embolism,100.0,,Fuzzy matched to: 'Personal history of other venous thrombosis and embolism' with score 100.0
"Pure hypercholesterolemia, unspecified",E7800,"Pure hypercholesterolemia, unspecified",100.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 100.0"
Other overlap syndromes,M351,Other overlap syndromes,100.0,,Fuzzy matched to: 'Other overlap syndromes' with score 100.0
Other pancytopenia,D61818,Other pancytopenia,100.0,,Fuzzy matched to: 'Other pancytopenia' with score 100.0
Resistance to penicillins,Z1611,Resistance to penicillins,100.0,,Fuzzy matched to: 'Resistance to penicillins' with score 100.0
"Herpesviral infection, unspecified",B009,"Herpesviral infection, unspecified",100.0,,"Fuzzy matched to: 'Herpesviral infection, unspecified' with score 100.0"
Do not resuscitate,Z66,Do not resuscitate,100.0,,Fuzzy matched to: 'Do not resuscitate' with score 100.0
"Depressive disorder, not elsewhere classified",A0472,"Enterocolitis due to Clostridium difficile, not specified as recurrent",85.5,,"Fuzzy matched to: 'Enterocolitis due to Clostridium difficile, not specified as recurrent' with score 85.5"
Hypokalemia,E876,Hypokalemia,100.0,,Fuzzy matched to: 'Hypokalemia' with score 100.0
Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,100.0,,Fuzzy matched to: 'Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere' with score 100.0
Other myelodysplastic syndromes,D46Z,Other myelodysplastic syndromes,100.0,,Fuzzy matched to: 'Other myelodysplastic syndromes' with score 100.0
"Pleural effusion, not elsewhere classified",J90,"Pleural effusion, not elsewhere classified",100.0,,"Fuzzy matched to: 'Pleural effusion, not elsewhere classified' with score 100.0"
Anemia in neoplastic disease,D630,Anemia in neoplastic disease,100.0,,Fuzzy matched to: 'Anemia in neoplastic disease' with score 100.0
Neoplasm related pain (acute) (chronic),G893,Neoplasm related pain (acute) (chronic),100.0,,Fuzzy matched to: 'Neoplasm related pain (acute) (chronic)' with score 100.0
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Chronic diastolic (congestive) heart failure,I5032,Chronic diastolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Chronic diastolic (congestive) heart failure' with score 100.0
"Splenomegaly, not elsewhere classified",R161,"Splenomegaly, not elsewhere classified",100.0,,"Fuzzy matched to: 'Splenomegaly, not elsewhere classified' with score 100.0"
"Unspecified asthma, uncomplicated",J45909,"Unspecified asthma, uncomplicated",100.0,,"Fuzzy matched to: 'Unspecified asthma, uncomplicated' with score 100.0"
"Anxiety disorder, unspecified",F419,"Anxiety disorder, unspecified",100.0,,"Fuzzy matched to: 'Anxiety disorder, unspecified' with score 100.0"
Personal history of malignant neoplasm of breast,Z853,Personal history of malignant neoplasm of breast,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of breast' with score 100.0
Chronic myeloproliferative disease,D471,Chronic myeloproliferative disease,100.0,,Fuzzy matched to: 'Chronic myeloproliferative disease' with score 100.0
"Thrombocytopenia, unspecified",D696,"Thrombocytopenia, unspecified",100.0,,"Fuzzy matched to: 'Thrombocytopenia, unspecified' with score 100.0"
Other and unspecified hyperlipidemia,A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Dehydration,E860,Dehydration,100.0,,Fuzzy matched to: 'Dehydration' with score 100.0
Severe sepsis with septic shock,R6521,Severe sepsis with septic shock,100.0,,Fuzzy matched to: 'Severe sepsis with septic shock' with score 100.0
Type 2 diabetes mellitus without complications,E119,Type 2 diabetes mellitus without complications,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus without complications' with score 100.0
"Chronic obstructive pulmonary disease, unspecified",J449,"Chronic obstructive pulmonary disease, unspecified",100.0,,"Fuzzy matched to: 'Chronic obstructive pulmonary disease, unspecified' with score 100.0"
"Sepsis, unspecified organism",A419,"Sepsis, unspecified organism",100.0,,"Fuzzy matched to: 'Sepsis, unspecified organism' with score 100.0"
Acute respiratory failure with hypoxia,J9601,Acute respiratory failure with hypoxia,100.0,,Fuzzy matched to: 'Acute respiratory failure with hypoxia' with score 100.0
"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Y842,"Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",100.0,,"Fuzzy matched to: 'Radiological procedure and radiotherapy as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 100.0"
"Myelodysplastic disease, not classified",C946,"Myelodysplastic disease, not elsewhere classified",95.0,,"Fuzzy matched to: 'Myelodysplastic disease, not elsewhere classified' with score 95.0"
"Adverse effect of drugs affecting uric acid metabolism, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Acute on chronic diastolic (congestive) heart failure,I5033,Acute on chronic diastolic (congestive) heart failure,100.0,,Fuzzy matched to: 'Acute on chronic diastolic (congestive) heart failure' with score 100.0
Personal history of irradiation,Z923,Personal history of irradiation,100.0,,Fuzzy matched to: 'Personal history of irradiation' with score 100.0
Other emphysema,J438,Other emphysema,100.0,,Fuzzy matched to: 'Other emphysema' with score 100.0
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",K259,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation",100.0,,"Fuzzy matched to: 'Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation' with score 100.0"
Hypertensive heart disease with heart failure,I110,Hypertensive heart disease with heart failure,100.0,,Fuzzy matched to: 'Hypertensive heart disease with heart failure' with score 100.0
"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Localized skin eruption due to drugs and medicaments taken internally,L271,Localized skin eruption due to drugs and medicaments taken internally,100.0,,Fuzzy matched to: 'Localized skin eruption due to drugs and medicaments taken internally' with score 100.0
"Anemia, unspecified",D649,"Anemia, unspecified",100.0,,"Fuzzy matched to: 'Anemia, unspecified' with score 100.0"
Gastro-esophageal reflux disease without esophagitis,K219,Gastro-esophageal reflux disease without esophagitis,100.0,,Fuzzy matched to: 'Gastro-esophageal reflux disease without esophagitis' with score 100.0
"Acute kidney failure, unspecified",N179,"Acute kidney failure, unspecified",100.0,,"Fuzzy matched to: 'Acute kidney failure, unspecified' with score 100.0"
Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,E790,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,100.0,,Fuzzy matched to: 'Hyperuricemia without signs of inflammatory arthritis and tophaceous disease' with score 100.0
Hemoglobinuria,R823,Hemoglobinuria,100.0,,Fuzzy matched to: 'Hemoglobinuria' with score 100.0
"Body mass index (BMI) 40.0-44.9, adult",Z6841,"Body mass index [BMI] 40.0-44.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 40.0-44.9, adult' with score 94.73684210526316"
"Body mass index (BMI) 33.0-33.9, adult",Z6833,"Body mass index [BMI] 33.0-33.9, adult",94.73684210526316,,"Fuzzy matched to: 'Body mass index [BMI] 33.0-33.9, adult' with score 94.73684210526316"
Hypoxemia,R0902,Hypoxemia,100.0,,Fuzzy matched to: 'Hypoxemia' with score 100.0
"Hypothyroidism, unspecified",E039,"Hypothyroidism, unspecified",100.0,,"Fuzzy matched to: 'Hypothyroidism, unspecified' with score 100.0"
"Major depressive disorder, single episode, unspecified",F329,"Major depressive disorder, single episode, unspecified",100.0,,"Fuzzy matched to: 'Major depressive disorder, single episode, unspecified' with score 100.0"
Obstructive sleep apnea (adult) (pediatric),G4733,Obstructive sleep apnea (adult) (pediatric),100.0,,Fuzzy matched to: 'Obstructive sleep apnea (adult) (pediatric)' with score 100.0
Infarction of spleen,D735,Infarction of spleen,100.0,,Fuzzy matched to: 'Infarction of spleen' with score 100.0
Nonalcoholic steatohepatitis (NASH),K7581,Nonalcoholic steatohepatitis (NASH),100.0,,Fuzzy matched to: 'Nonalcoholic steatohepatitis (NASH)' with score 100.0
Coalworker's pneumoconiosis,J60,Coalworker's pneumoconiosis,100.0,,Fuzzy matched to: 'Coalworker's pneumoconiosis' with score 100.0
"Hematuria, unspecified",R319,"Hematuria, unspecified",100.0,,"Fuzzy matched to: 'Hematuria, unspecified' with score 100.0"
Personal history of nicotine dependence,Z87891,Personal history of nicotine dependence,100.0,,Fuzzy matched to: 'Personal history of nicotine dependence' with score 100.0
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Pneumonitis due to inhalation of food and vomit,J690,Pneumonitis due to inhalation of food and vomit,100.0,,Fuzzy matched to: 'Pneumonitis due to inhalation of food and vomit' with score 100.0
Tumor lysis syndrome,E883,Tumor lysis syndrome,100.0,,Fuzzy matched to: 'Tumor lysis syndrome' with score 100.0
Other disorders of phosphorus metabolism,E8339,Other disorders of phosphorus metabolism,100.0,,Fuzzy matched to: 'Other disorders of phosphorus metabolism' with score 100.0
"Hyperlipidemia, unspecified",E785,"Hyperlipidemia, unspecified",100.0,,"Fuzzy matched to: 'Hyperlipidemia, unspecified' with score 100.0"
"Coagulation defect, unspecified",D689,"Coagulation defect, unspecified",100.0,,"Fuzzy matched to: 'Coagulation defect, unspecified' with score 100.0"
Unspecified abdominal pain,R109,Unspecified abdominal pain,100.0,,Fuzzy matched to: 'Unspecified abdominal pain' with score 100.0
Chronic pulmonary edema,J811,Chronic pulmonary edema,100.0,,Fuzzy matched to: 'Chronic pulmonary edema' with score 100.0
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Hemorrhage complicating a procedure,A190,Acute miliary tuberculosis of a single specified site,85.5,,Fuzzy matched to: 'Acute miliary tuberculosis of a single specified site' with score 85.5
"Macular degeneration (senile), unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Family history of malignant neoplasm of breast,Z803,Family history of malignant neoplasm of breast,100.0,,Fuzzy matched to: 'Family history of malignant neoplasm of breast' with score 100.0
Unspecified acquired hypothyroidism,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Cataract extraction status,Z9849,"Cataract extraction status, unspecified eye",90.0,,"Fuzzy matched to: 'Cataract extraction status, unspecified eye' with score 90.0"
Personal history of malignant neoplasm of breast,Z853,Personal history of malignant neoplasm of breast,100.0,,Fuzzy matched to: 'Personal history of malignant neoplasm of breast' with score 100.0
Other acute postoperative pain,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Malignant neoplasm of main bronchus,C3400,Malignant neoplasm of unspecified main bronchus,95.0,,Fuzzy matched to: 'Malignant neoplasm of unspecified main bronchus' with score 95.0
Lens replaced by other means,A0819,Acute gastroenteropathy due to other small round viruses,85.5,,Fuzzy matched to: 'Acute gastroenteropathy due to other small round viruses' with score 85.5
Personal history of tobacco use,Z720,Tobacco use,85.71428571428571,,Fuzzy matched to: 'Tobacco use' with score 85.71428571428571
Personal history of antineoplastic chemotherapy,Z9221,Personal history of antineoplastic chemotherapy,100.0,,Fuzzy matched to: 'Personal history of antineoplastic chemotherapy' with score 100.0
Family history of malignant neoplasm of prostate,Z8042,Family history of malignant neoplasm of prostate,100.0,,Fuzzy matched to: 'Family history of malignant neoplasm of prostate' with score 100.0
"Other specified forms of effusion, except tuberculous",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Accidents occurring in residential institution,B5732,Megacolon in Chagas' disease,85.5,,Fuzzy matched to: 'Megacolon in Chagas' disease' with score 85.5
Personal history of Methicillin resistant Staphylococcus aureus,Z8614,Personal history of Methicillin resistant Staphylococcus aureus infection,95.0,,Fuzzy matched to: 'Personal history of Methicillin resistant Staphylococcus aureus infection' with score 95.0
Disruption of external operation (surgical) wound,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Injury to thoracic aorta,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Y848,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",92.3076923076923,,"Fuzzy matched to: 'Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure' with score 92.3076923076923"
"Mechanical complication of nervous system device, implant, and graft",A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Asthma, unspecified type, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Other postoperative infection,A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Acute post-thoracotomy pain,G8912,Acute post-thoracotomy pain,100.0,,Fuzzy matched to: 'Acute post-thoracotomy pain' with score 100.0
Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site,A4902,"Methicillin resistant Staphylococcus aureus infection, unspecified site",87.02290076335878,,"Fuzzy matched to: 'Methicillin resistant Staphylococcus aureus infection, unspecified site' with score 87.02290076335878"
Empyema without mention of fistula,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Street and highway accidents,A09,"Infectious gastroenteritis and colitis, unspecified",85.5,,"Fuzzy matched to: 'Infectious gastroenteritis and colitis, unspecified' with score 85.5"
Cellulitis and abscess of trunk,K122,Cellulitis and abscess of mouth,87.09677419354838,,Fuzzy matched to: 'Cellulitis and abscess of mouth' with score 87.09677419354838
"Personal history of surgery to heart and great vessels, presenting hazards to health",A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
"Other specified forms of effusion, except tuberculous",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
"Esophagitis, unspecified",K2090,"Esophagitis, unspecified without bleeding",90.0,,"Fuzzy matched to: 'Esophagitis, unspecified without bleeding' with score 90.0"
Acute respiratory failure,J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",90.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 90.0"
Other and unspecified Escherichia coli [E. coli],A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Leukocytosis, unspecified",A0220,"Localized salmonella infection, unspecified",85.5,,"Fuzzy matched to: 'Localized salmonella infection, unspecified' with score 85.5"
Hypoxemia,R0902,Hypoxemia,100.0,,Fuzzy matched to: 'Hypoxemia' with score 100.0
Unspecified septicemia,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
Mixed acid-base balance disorder,E874,Mixed disorder of acid-base balance,95.0,,Fuzzy matched to: 'Mixed disorder of acid-base balance' with score 95.0
"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",K264,Chronic or unspecified duodenal ulcer with hemorrhage,90.0,,Fuzzy matched to: 'Chronic or unspecified duodenal ulcer with hemorrhage' with score 90.0
"Alcohol abuse, unspecified",F1090,"Alcohol use, unspecified, uncomplicated",86.4,,"Fuzzy matched to: 'Alcohol use, unspecified, uncomplicated' with score 86.4"
Severe sepsis,R6520,Severe sepsis without septic shock,90.0,,Fuzzy matched to: 'Severe sepsis without septic shock' with score 90.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Electrolyte and fluid disorders not elsewhere classified,A1781,Tuberculoma of brain and spinal cord,85.5,,Fuzzy matched to: 'Tuberculoma of brain and spinal cord' with score 85.5
Diaphragmatic hernia without mention of obstruction or gangrene,K449,Diaphragmatic hernia without obstruction or gangrene,95.0,,Fuzzy matched to: 'Diaphragmatic hernia without obstruction or gangrene' with score 95.0
Pneumonitis due to inhalation of food or vomitus,J690,Pneumonitis due to inhalation of food and vomit,92.63157894736842,,Fuzzy matched to: 'Pneumonitis due to inhalation of food and vomit' with score 92.63157894736842
Salicylates causing adverse effects in therapeutic use,A2781,Aseptic meningitis in leptospirosis,85.5,,Fuzzy matched to: 'Aseptic meningitis in leptospirosis' with score 85.5
"Intestinal infection due to other organism, not elsewhere classified",A0109,Typhoid fever with other complications,85.5,,Fuzzy matched to: 'Typhoid fever with other complications' with score 85.5
Hyposmolality and/or hyponatremia,E871,Hypo-osmolality and hyponatremia,92.3076923076923,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 92.3076923076923
"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",K254,Chronic or unspecified gastric ulcer with hemorrhage,90.0,,Fuzzy matched to: 'Chronic or unspecified gastric ulcer with hemorrhage' with score 90.0
"Peritonitis, unspecified",K659,"Peritonitis, unspecified",100.0,,"Fuzzy matched to: 'Peritonitis, unspecified' with score 100.0"
"Chronic kidney disease, stage 3 (moderate)",N181,"Chronic kidney disease, stage 1",91.83333333333333,,"Fuzzy matched to: 'Chronic kidney disease, stage 1' with score 91.83333333333333"
Hepatorenal syndrome,K767,Hepatorenal syndrome,100.0,,Fuzzy matched to: 'Hepatorenal syndrome' with score 100.0
Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,I25118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,100.0,,Fuzzy matched to: 'Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris' with score 100.0
Long term (current) use of insulin,Z794,Long term (current) use of insulin,100.0,,Fuzzy matched to: 'Long term (current) use of insulin' with score 100.0
Other cirrhosis of liver,K7469,Other cirrhosis of liver,100.0,,Fuzzy matched to: 'Other cirrhosis of liver' with score 100.0
Severe sepsis with septic shock,R6521,Severe sepsis with septic shock,100.0,,Fuzzy matched to: 'Severe sepsis with septic shock' with score 100.0
Ventilator associated pneumonia,J95851,Ventilator associated pneumonia,100.0,,Fuzzy matched to: 'Ventilator associated pneumonia' with score 100.0
Hypovolemic shock,R571,Hypovolemic shock,100.0,,Fuzzy matched to: 'Hypovolemic shock' with score 100.0
Type 2 diabetes mellitus without complications,E119,Type 2 diabetes mellitus without complications,100.0,,Fuzzy matched to: 'Type 2 diabetes mellitus without complications' with score 100.0
Unspecified atrial fibrillation,I4891,Unspecified atrial fibrillation,100.0,,Fuzzy matched to: 'Unspecified atrial fibrillation' with score 100.0
"Ileus, unspecified",K567,"Ileus, unspecified",100.0,,"Fuzzy matched to: 'Ileus, unspecified' with score 100.0"
"Unspecified infection due to central venous catheter, initial encounter",A001,"Cholera due to Vibrio cholerae 01, biovar eltor",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar eltor' with score 85.5"
Unspecified atrial flutter,I4892,Unspecified atrial flutter,100.0,,Fuzzy matched to: 'Unspecified atrial flutter' with score 100.0
"Other postprocedural shock, initial encounter",A038,Other shigellosis,85.5,,Fuzzy matched to: 'Other shigellosis' with score 85.5
Acute posthemorrhagic anemia,D62,Acute posthemorrhagic anemia,100.0,,Fuzzy matched to: 'Acute posthemorrhagic anemia' with score 100.0
Other ascites,R188,Other ascites,100.0,,Fuzzy matched to: 'Other ascites' with score 100.0
Acute and subacute hepatic failure without coma,K7200,Acute and subacute hepatic failure without coma,100.0,,Fuzzy matched to: 'Acute and subacute hepatic failure without coma' with score 100.0
Atelectasis,J9811,Atelectasis,100.0,,Fuzzy matched to: 'Atelectasis' with score 100.0
"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",100.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 100.0"
Nonalcoholic steatohepatitis (NASH),K7581,Nonalcoholic steatohepatitis (NASH),100.0,,Fuzzy matched to: 'Nonalcoholic steatohepatitis (NASH)' with score 100.0
Hypo-osmolality and hyponatremia,E871,Hypo-osmolality and hyponatremia,100.0,,Fuzzy matched to: 'Hypo-osmolality and hyponatremia' with score 100.0
Acidosis,E8720,"Acidosis, unspecified",90.0,,"Fuzzy matched to: 'Acidosis, unspecified' with score 90.0"
"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",I129,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",100.0,,"Fuzzy matched to: 'Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease' with score 100.0"
Other specified bacterial agents as the cause of diseases classified elsewhere,B9689,Other specified bacterial agents as the cause of diseases classified elsewhere,100.0,,Fuzzy matched to: 'Other specified bacterial agents as the cause of diseases classified elsewhere' with score 100.0
Hemoperitoneum,K661,Hemoperitoneum,100.0,,Fuzzy matched to: 'Hemoperitoneum' with score 100.0
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Anemia in other chronic diseases classified elsewhere,D638,Anemia in other chronic diseases classified elsewhere,100.0,,Fuzzy matched to: 'Anemia in other chronic diseases classified elsewhere' with score 100.0
Unspecified severe protein-calorie malnutrition,E43,Unspecified severe protein-calorie malnutrition,100.0,,Fuzzy matched to: 'Unspecified severe protein-calorie malnutrition' with score 100.0
Acquired coagulation factor deficiency,D684,Acquired coagulation factor deficiency,100.0,,Fuzzy matched to: 'Acquired coagulation factor deficiency' with score 100.0
Adult failure to thrive,R627,Adult failure to thrive,100.0,,Fuzzy matched to: 'Adult failure to thrive' with score 100.0
